Term,Spanish,Portuguese
Income,Ingresos,Renda
Deductions,Deducciones,Deduções
Credits,Créditos,Créditos
Expenses,Gastos,Despesas
Income and Expenses,Ingresos y gastos,Receitas e despesas
Tax Summary,Resumen de impuestos,Resumo de impostos
Tax Return,Declaración de impuestos,Declaração de impostos
Federal Return,Declaración federal,Declaração federal
State Return,Declaración estatal,Declaração estadual
Amended Return,Declaración enmendada,Declaração retificada
Original Return,Declaración original,Declaração original
Filing Instructions,Instrucciones de presentación,Instruções de envio
Supporting Documents,Documentos de respaldo,Documentos de suporte
Attachments,Anexos,Anexos
Nonresident Return,Declaración de no residente,Declaração de não residente
Resident Return,Declaración de residente,Declaração de residente
Dual Status Return,Declaración de doble estatus,Declaração de status duplo
Foreign Information,Información extranjera,Informações estrangeiras
Foreign Info,Información extranjera,Informações estrangeiras
International Information,Información internacional,Informações internacionais
Foreign Return,Declaración extranjera,Declaração estrangeira
International Return,Declaración internacional,Declaração internacional
Foreign Tax Return,Declaración de impuestos extranjera,Declaração de imposto estrangeira
International Tax Return,Declaración de impuestos internacional,Declaração de imposto internacional
Overseas Return,Declaración del extranjero,Declaração do exterior
Country Return,Declaración por país,Declaração por país
LATAM Return,Declaración LATAM,Declaração LATAM
Latam Return,Declaración LATAM,Declaração LATAM
Latin America Return,Declaración de América Latina,Declaração da América Latina
LATAM country Return,Declaración de país LATAM,Declaração de país LATAM
(LATAM country) Return,Declaración de país LATAM,Declaração de país LATAM
Foreign Filing,Presentación extranjera,Envio estrangeiro
Foreign Filing Requirement,Requisito de presentación extranjera,Exigência de envio estrangeiro
Foreign Disclosure,Divulgación extranjera,Divulgação estrangeira
International Disclosure,Divulgación internacional,Divulgação internacional
Cross-Border Return,Declaración transfronteriza,Declaração transfronteiriça
Mexico Return,Declaración de México,Declaração do México
MExico return,Declaración de México,Declaração do México
Mexican Return,Declaración mexicana,Declaração mexicana
Return - Mexico,Declaración - México,Declaração - México
Venezuela Return,Declaración de Venezuela,Declaração da Venezuela
Venezuela return,Declaración de Venezuela,Declaração da Venezuela
Return - Venezuela,Declaración - Venezuela,Declaração - Venezuela
Argentina Return,Declaración de Argentina,Declaração da Argentina
Bolivia Return,Declaración de Bolivia,Declaração da Bolívia
Brazil Return,Declaración de Brasil,Declaração do Brasil
Brasil Return,Declaración de Brasil,Declaração do Brasil
Chile Return,Declaración de Chile,Declaração do Chile
Colombia Return,Declaración de Colombia,Declaração da Colômbia
Costa Rica Return,Declaración de Costa Rica,Declaração da Costa Rica
Cuba Return,Declaración de Cuba,Declaração de Cuba
Dominican Republic Return,Declaración de República Dominicana,Declaração da República Dominicana
Ecuador Return,Declaración de Ecuador,Declaração do Equador
El Salvador Return,Declaración de El Salvador,Declaração de El Salvador
Guatemala Return,Declaración de Guatemala,Declaração da Guatemala
Honduras Return,Declaración de Honduras,Declaração de Honduras
Nicaragua Return,Declaración de Nicaragua,Declaração da Nicarágua
Panama Return,Declaración de Panamá,Declaração do Panamá
Paraguay Return,Declaración de Paraguay,Declaração do Paraguai
Peru Return,Declaración de Perú,Declaração do Peru
Puerto Rico Return,Declaración de Puerto Rico,Declaração de Porto Rico
Uruguay Return,Declaración de Uruguay,Declaração do Uruguai
LATAM Tax Return,Declaración de impuestos LATAM,Declaração de imposto LATAM
Foreign Source Income,Ingresos de fuente extranjera,Renda de fonte estrangeira
International Income,Ingresos internacionales,Renda internacional
Foreign Documents,Documentos extranjeros,Documentos estrangeiros
International Documents,Documentos internacionales,Documentos internacionais
Schedule 1,Anexo 1,Anexo 1
Schedule 2,Anexo 2,Anexo 2
Schedule 3,Anexo 3,Anexo 3
Schedule A,Anexo A,Anexo A
Schedule B,Anexo B,Anexo B
Schedule C,Anexo C,Anexo C
Schedule C-EZ,Anexo C-EZ,Anexo C-EZ
Schedule D,Anexo D,Anexo D
Schedule E,Anexo E,Anexo E
Schedule F,Anexo F,Anexo F
Schedule H,Anexo H,Anexo H
Schedule J,Anexo J,Anexo J
Schedule R,Anexo R,Anexo R
Schedule SE,Anexo SE,Anexo SE
Schedule OI,Anexo OI,Anexo OI
Schedule NEC,Anexo NEC,Anexo NEC
Sch A,Anexo A,Anexo A
Sch B,Anexo B,Anexo B
Sch C,Anexo C,Anexo C
Sch D,Anexo D,Anexo D
Sch E,Anexo E,Anexo E
Sch F,Anexo F,Anexo F
Sch SE,Anexo SE,Anexo SE
Sched C,Anexo C,Anexo C
